Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SanitySuite,Firefox 120.0,,,2023-12-17 19:57:55,2023-12-17 20:01:46,3m - 50.972s,FAILED
,,,,,,,
Test Cases/LoginTest,Firefox 120.0,,,2023-12-17 19:57:55,2023-12-17 19:58:14,19.048s,PASSED
"openBrowser("""")",Firefox 120.0,,,2023-12-17 19:57:56,2023-12-17 19:58:04,8.016s,PASSED
"navigateToUrl(""https://pl-qa-pantheon-mock.eks.qritive.com/signin"")",Firefox 120.0,,,2023-12-17 19:58:04,2023-12-17 19:58:08,4.246s,PASSED
"setText(findTestObject(""Object Repository/Page_Pantheon/input_Email_ant-input style__TextInputWrapp_ced313""), ""testingpurposesel@gmail.com"")",Firefox 120.0,,,2023-12-17 19:58:08,2023-12-17 19:58:09,1.208s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Pantheon/input_Password_ant-input""), ""03ZG93lrBnMy0VKFZPeiCg=="")",Firefox 120.0,,,2023-12-17 19:58:09,2023-12-17 19:58:10,0.768s,PASSED
"click(findTestObject(""Object Repository/Page_Pantheon/span_Sign In""))",Firefox 120.0,,,2023-12-17 19:58:10,2023-12-17 19:58:11,0.747s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Pantheon/div_Hi, Vrushali D""), ""Hi, Vrushali D"")",Firefox 120.0,,,2023-12-17 19:58:11,2023-12-17 19:58:12,1.825s,PASSED
closeBrowser(),Firefox 120.0,,,2023-12-17 19:58:12,2023-12-17 19:58:14,1.646s,PASSED
,,,,,,,
Test Cases/ShareCase,Firefox 120.0,,,2023-12-17 20:00:54,2023-12-17 20:01:46,51.947s,FAILED
"openBrowser("""")",Firefox 120.0,,,2023-12-17 20:00:54,2023-12-17 20:01:00,6.738s,PASSED
"navigateToUrl(""https://pl-qa-pantheon-mock.eks.qritive.com/signin"")",Firefox 120.0,,,2023-12-17 20:01:00,2023-12-17 20:01:05,4.894s,PASSED
"setText(findTestObject(""Object Repository/Page_Pantheon/input_Email_ant-input style__TextInputWrapp_ced313""), ""testingpurposesel@gmail.com"")",Firefox 120.0,,,2023-12-17 20:01:05,2023-12-17 20:01:06,1.218s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Pantheon/input_Password_ant-input""), ""03ZG93lrBnMy0VKFZPeiCg=="")",Firefox 120.0,,,2023-12-17 20:01:06,2023-12-17 20:01:07,0.602s,PASSED
"click(findTestObject(""Object Repository/Page_Pantheon/span_Sign In""))",Firefox 120.0,,,2023-12-17 20:01:07,2023-12-17 20:01:08,0.796s,PASSED
"click(findTestObject(""Object Repository/Page_Pantheon/svg""))",Firefox 120.0,,,2023-12-17 20:01:08,2023-12-17 20:01:10,2.025s,PASSED
"click(findTestObject(""Object Repository/Page_Pantheon/div_""))",Firefox 120.0,,,2023-12-17 20:01:10,2023-12-17 20:01:11,0.971s,PASSED
"setText(findTestObject(""Object Repository/Page_Pantheon/input_People_rc_select_0""), ""testing"")",Firefox 120.0,,,2023-12-17 20:01:11,2023-12-17 20:01:12,1.227s,PASSED
"click(findTestObject(""Object Repository/Page_Pantheon/div_testingpurpose2412rediffmail.com""))",Firefox 120.0,,,2023-12-17 20:01:12,2023-12-17 20:01:13,0.785s,PASSED
"click(findTestObject(""Object Repository/Page_Pantheon/button_Share""))",Firefox 120.0,,,2023-12-17 20:01:13,2023-12-17 20:01:15,1.651s,PASSED
"click(findTestObject(""Object Repository/Page_Pantheon/svg""))",Firefox 120.0,,,2023-12-17 20:01:15,2023-12-17 20:01:46,30.999s,FAILED
