Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SanitySuite,Firefox 120.0,,,2023-12-17 20:04:44,2023-12-17 20:08:33,3m - 49.132s,FAILED
,,,,,,,
Test Cases/LoginTest,Firefox 120.0,,,2023-12-17 20:04:45,2023-12-17 20:05:05,20.158s,PASSED
"openBrowser("""")",Firefox 120.0,,,2023-12-17 20:04:45,2023-12-17 20:04:54,8.780s,PASSED
"navigateToUrl(""https://pl-qa-pantheon-mock.eks.qritive.com/signin"")",Firefox 120.0,,,2023-12-17 20:04:54,2023-12-17 20:04:58,4.434s,PASSED
"setText(findTestObject(""Object Repository/Page_Pantheon/input_Email_ant-input style__TextInputWrapp_ced313""), ""testingpurposesel@gmail.com"")",Firefox 120.0,,,2023-12-17 20:04:58,2023-12-17 20:05:00,1.174s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Pantheon/input_Password_ant-input""), ""03ZG93lrBnMy0VKFZPeiCg=="")",Firefox 120.0,,,2023-12-17 20:05:00,2023-12-17 20:05:00,0.602s,PASSED
"click(findTestObject(""Object Repository/Page_Pantheon/span_Sign In""))",Firefox 120.0,,,2023-12-17 20:05:00,2023-12-17 20:05:01,0.791s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Pantheon/div_Hi, Vrushali D""), ""Hi, Vrushali D"")",Firefox 120.0,,,2023-12-17 20:05:01,2023-12-17 20:05:03,1.774s,PASSED
closeBrowser(),Firefox 120.0,,,2023-12-17 20:05:03,2023-12-17 20:05:05,2.083s,PASSED
,,,,,,,
Test Cases/ShareCase,Firefox 120.0,,,2023-12-17 20:07:42,2023-12-17 20:08:33,51.072s,FAILED
"openBrowser("""")",Firefox 120.0,,,2023-12-17 20:07:42,2023-12-17 20:07:49,6.851s,PASSED
"navigateToUrl(""https://pl-qa-pantheon-mock.eks.qritive.com/signin"")",Firefox 120.0,,,2023-12-17 20:07:49,2023-12-17 20:07:53,4.038s,PASSED
"setText(findTestObject(""Object Repository/Page_Pantheon/input_Email_ant-input style__TextInputWrapp_ced313""), ""testingpurposesel@gmail.com"")",Firefox 120.0,,,2023-12-17 20:07:53,2023-12-17 20:07:54,1.013s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Pantheon/input_Password_ant-input""), ""03ZG93lrBnMy0VKFZPeiCg=="")",Firefox 120.0,,,2023-12-17 20:07:54,2023-12-17 20:07:55,0.622s,PASSED
"click(findTestObject(""Object Repository/Page_Pantheon/span_Sign In""))",Firefox 120.0,,,2023-12-17 20:07:55,2023-12-17 20:07:56,0.799s,PASSED
"click(findTestObject(""Object Repository/Page_Pantheon/svg""))",Firefox 120.0,,,2023-12-17 20:07:56,2023-12-17 20:07:58,1.864s,PASSED
"click(findTestObject(""Object Repository/Page_Pantheon/div_""))",Firefox 120.0,,,2023-12-17 20:07:58,2023-12-17 20:07:58,0.903s,PASSED
"setText(findTestObject(""Object Repository/Page_Pantheon/input_People_rc_select_0""), ""testing"")",Firefox 120.0,,,2023-12-17 20:07:58,2023-12-17 20:08:00,1.447s,PASSED
"click(findTestObject(""Object Repository/Page_Pantheon/div_testingpurpose2412rediffmail.com""))",Firefox 120.0,,,2023-12-17 20:08:00,2023-12-17 20:08:01,0.721s,PASSED
"click(findTestObject(""Object Repository/Page_Pantheon/button_Share""))",Firefox 120.0,,,2023-12-17 20:08:01,2023-12-17 20:08:02,1.834s,PASSED
"click(findTestObject(""Object Repository/Page_Pantheon/svg""))",Firefox 120.0,,,2023-12-17 20:08:02,2023-12-17 20:08:33,30.953s,FAILED
