Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SanitySuite,Chrome 120.0.0.0,,,2023-12-17 14:16:51,2023-12-17 14:20:06,3m - 15.020s,FAILED
,,,,,,,
Test Cases/LoginTest,Chrome 120.0.0.0,,,2023-12-17 14:16:52,2023-12-17 14:17:04,12.156s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,2023-12-17 14:16:52,2023-12-17 14:16:56,3.933s,PASSED
"navigateToUrl(""https://pl-qa-pantheon-mock.eks.qritive.com/signin"")",Chrome 120.0.0.0,,,2023-12-17 14:16:56,2023-12-17 14:16:58,2.236s,PASSED
"setText(findTestObject(""Object Repository/Page_Pantheon/input_Email_ant-input style__TextInputWrapp_ced313""), ""testingpurposesel@gmail.com"")",Chrome 120.0.0.0,,,2023-12-17 14:16:58,2023-12-17 14:17:00,1.334s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Pantheon/input_Password_ant-input""), ""03ZG93lrBnMy0VKFZPeiCg=="")",Chrome 120.0.0.0,,,2023-12-17 14:17:00,2023-12-17 14:17:01,0.824s,PASSED
"click(findTestObject(""Object Repository/Page_Pantheon/span_Sign In""))",Chrome 120.0.0.0,,,2023-12-17 14:17:01,2023-12-17 14:17:01,0.602s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Pantheon/div_Hi, Vrushali D""), ""Hi, Vrushali D"")",Chrome 120.0.0.0,,,2023-12-17 14:17:01,2023-12-17 14:17:03,2.063s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,2023-12-17 14:17:03,2023-12-17 14:17:04,0.757s,PASSED
,,,,,,,
Test Cases/ShareCase,Chrome 120.0.0.0,,,2023-12-17 14:19:19,2023-12-17 14:20:06,47.436s,FAILED
"openBrowser("""")",Chrome 120.0.0.0,,,2023-12-17 14:19:19,2023-12-17 14:19:21,2.046s,PASSED
"navigateToUrl(""https://pl-qa-pantheon-mock.eks.qritive.com/signin"")",Chrome 120.0.0.0,,,2023-12-17 14:19:21,2023-12-17 14:19:24,2.687s,PASSED
"setText(findTestObject(""Object Repository/Page_Pantheon/input_Email_ant-input style__TextInputWrapp_ced313""), ""testingpurposesel@gmail.com"")",Chrome 120.0.0.0,,,2023-12-17 14:19:24,2023-12-17 14:19:25,1.208s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Pantheon/input_Password_ant-input""), ""03ZG93lrBnMy0VKFZPeiCg=="")",Chrome 120.0.0.0,,,2023-12-17 14:19:25,2023-12-17 14:19:26,0.693s,PASSED
"click(findTestObject(""Object Repository/Page_Pantheon/span_Sign In""))",Chrome 120.0.0.0,,,2023-12-17 14:19:26,2023-12-17 14:19:26,0.555s,PASSED
"click(findTestObject(""Object Repository/Page_Pantheon/svg""))",Chrome 120.0.0.0,,,2023-12-17 14:19:26,2023-12-17 14:19:29,2.347s,PASSED
"click(findTestObject(""Object Repository/Page_Pantheon/div_""))",Chrome 120.0.0.0,,,2023-12-17 14:19:29,2023-12-17 14:19:30,1.015s,PASSED
"setText(findTestObject(""Object Repository/Page_Pantheon/input_People_rc_select_0""), ""testing"")",Chrome 120.0.0.0,,,2023-12-17 14:19:30,2023-12-17 14:19:31,1.254s,PASSED
"click(findTestObject(""Object Repository/Page_Pantheon/div_testingpurpose2412rediffmail.com""))",Chrome 120.0.0.0,,,2023-12-17 14:19:31,2023-12-17 14:19:31,0.558s,PASSED
"click(findTestObject(""Object Repository/Page_Pantheon/button_Share""))",Chrome 120.0.0.0,,,2023-12-17 14:19:31,2023-12-17 14:19:33,1.341s,PASSED
"click(findTestObject(""Object Repository/Page_Pantheon/svg""))",Chrome 120.0.0.0,,,2023-12-17 14:19:33,2023-12-17 14:20:06,33.717s,FAILED
