Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SanitySuite,Chrome 120.0.0.0,,,2023-12-19 13:00:31,2023-12-19 13:06:22,5m - 50.472s,FAILED
,,,,,,,
Test Cases/SCRUM-1 User login,Chrome 120.0.0.0,"Summary: User login
Description: ",jira-integration,2023-12-19 13:00:32,2023-12-19 13:01:12,39.975s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,2023-12-19 13:00:32,2023-12-19 13:00:36,3.594s,PASSED
"navigateToUrl(""https://pl-qa-pantheon-mock.eks.qritive.com/signin"")",Chrome 120.0.0.0,,,2023-12-19 13:00:36,2023-12-19 13:00:38,2.340s,PASSED
"setText(findTestObject(""Object Repository/Page_Pantheon/input_Email_ant-input style__TextInputWrapp_ced313""), ""testingpurposesel@gmail.com"")",Chrome 120.0.0.0,,,2023-12-19 13:00:38,2023-12-19 13:00:39,1.212s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Pantheon/input_Password_ant-input""), ""03ZG93lrBnMy0VKFZPeiCg=="")",Chrome 120.0.0.0,,,2023-12-19 13:00:39,2023-12-19 13:01:11,31.746s,PASSED
"click(findTestObject(""Object Repository/Page_Pantheon/button_Sign In""))",Chrome 120.0.0.0,,,2023-12-19 13:01:11,2023-12-19 13:01:11,0.654s,PASSED
,,,,,,,
Test Cases/SCRUM-2 share the case with user,Chrome 120.0.0.0,"Summary: share the case with user
Description: ",jira-integration,2023-12-19 13:05:06,2023-12-19 13:06:22,1m - 15.962s,FAILED
"openBrowser("""")",Chrome 120.0.0.0,,,2023-12-19 13:05:06,2023-12-19 13:05:08,2.033s,PASSED
"navigateToUrl(""https://pl-qa-pantheon-mock.eks.qritive.com/signin"")",Chrome 120.0.0.0,,,2023-12-19 13:05:08,2023-12-19 13:05:10,2.455s,PASSED
"setText(findTestObject(""Object Repository/Page_Pantheon/input_Email_ant-input style__TextInputWrapp_ced313""), ""testingpurposesel@gmail.com"")",Chrome 120.0.0.0,,,2023-12-19 13:05:10,2023-12-19 13:05:11,1.166s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Pantheon/input_Password_ant-input""), ""03ZG93lrBnMy0VKFZPeiCg=="")",Chrome 120.0.0.0,,,2023-12-19 13:05:11,2023-12-19 13:05:43,31.924s,PASSED
"click(findTestObject(""Object Repository/Page_Pantheon/span_Sign In""))",Chrome 120.0.0.0,,,2023-12-19 13:05:43,2023-12-19 13:05:44,0.569s,PASSED
"click(findTestObject(""Object Repository/Page_Pantheon/svg""))",Chrome 120.0.0.0,,,2023-12-19 13:05:44,2023-12-19 13:05:46,2.104s,PASSED
"click(findTestObject(""Object Repository/Page_Pantheon/div_""))",Chrome 120.0.0.0,,,2023-12-19 13:05:46,2023-12-19 13:05:47,1.043s,PASSED
"setText(findTestObject(""Object Repository/Page_Pantheon/input_People_rc_select_0""), ""testing"")",Chrome 120.0.0.0,,,2023-12-19 13:05:47,2023-12-19 13:05:48,1.210s,PASSED
"click(findTestObject(""Object Repository/Page_Pantheon/div_testingpurpose2412rediffmail.com""))",Chrome 120.0.0.0,,,2023-12-19 13:05:48,2023-12-19 13:05:49,1.073s,PASSED
"click(findTestObject(""Object Repository/Page_Pantheon/button_Share""))",Chrome 120.0.0.0,,,2023-12-19 13:05:49,2023-12-19 13:05:50,0.663s,PASSED
"click(findTestObject(""Object Repository/Page_Pantheon/svg""))",Chrome 120.0.0.0,,,2023-12-19 13:05:50,2023-12-19 13:06:22,31.697s,FAILED
