Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SanitySuite,Chrome 120.0.0.0,,,2023-12-20 15:59:32,2023-12-20 16:04:43,5m - 11.103s,FAILED
,,,,,,,
Test Cases/ShareCase,Chrome 120.0.0.0,,,2023-12-20 16:03:27,2023-12-20 16:04:43,1m - 16.246s,FAILED
"openBrowser("""")",Chrome 120.0.0.0,,,2023-12-20 16:03:27,2023-12-20 16:03:29,2.328s,PASSED
"navigateToUrl(""https://pl-qa-pantheon-mock.eks.qritive.com/signin"")",Chrome 120.0.0.0,,,2023-12-20 16:03:29,2023-12-20 16:03:32,2.606s,PASSED
"setText(findTestObject(""Object Repository/Page_Pantheon/input_Email_ant-input style__TextInputWrapp_ced313""), ""testingpurposesel@gmail.com"")",Chrome 120.0.0.0,,,2023-12-20 16:03:32,2023-12-20 16:03:33,1.197s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Pantheon/input_Password_ant-input""), ""03ZG93lrBnMy0VKFZPeiCg=="")",Chrome 120.0.0.0,,,2023-12-20 16:03:33,2023-12-20 16:04:05,31.949s,PASSED
"click(findTestObject(""Object Repository/Page_Pantheon/span_Sign In""))",Chrome 120.0.0.0,,,2023-12-20 16:04:05,2023-12-20 16:04:06,0.830s,PASSED
"click(findTestObject(""Object Repository/Page_Pantheon/svg""))",Chrome 120.0.0.0,,,2023-12-20 16:04:06,2023-12-20 16:04:41,35.100s,FAILED
Video,Chrome 120.0.0.0,,,2023-12-20 16:04:43,2023-12-20 16:04:43,0.000s,PASSED
